id,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,,PRP
0,125,256,6000,256,16,128,,198
1,29,8000,32000,32,8,32,,269
2,29,8000,32000,32,8,32,,220
3,29,8000,32000,32,8,32,,172
4,26,8000,32000,64,8,32,,318
5,23,16000,32000,64,16,32,,367
6,23,16000,32000,64,16,32,,489
7,23,16000,64000,64,16,32,,636
8,23,32000,64000,128,32,64,,1144
9,400,1000,3000,0,1,2,,38
10,60,2000,8000,65,1,8,,92
11,50,4000,16000,65,1,8,,138
12,350,64,64,0,1,4,,10
13,200,512,16000,0,4,32,,35
14,143,512,5000,0,7,32,,28
15,110,5000,5000,142,8,64,,120
16,143,1500,6300,0,5,32,,30
17,143,3100,6200,0,5,20,,33
18,143,2300,6200,0,6,64,,61
19,110,3100,6200,0,6,64,,76
20,320,128,6000,0,1,12,,23
21,320,512,2000,4,1,3,,69
22,320,256,6000,0,1,6,,33
23,25,1310,2620,131,12,24,,274
24,50,2620,10480,30,12,24,,32
25,50,500,2000,8,1,4,,20
26,50,1000,4000,8,1,5,,29
27,50,1000,4000,8,3,5,,26
28,50,2000,16000,8,3,5,,40
29,50,2000,16000,8,3,6,,52
30,50,2000,16000,8,3,6,,60
31,133,1000,8000,9,3,12,,72
32,810,512,512,8,1,1,,18
33,320,512,8000,4,1,5,,40
34,200,512,8000,8,1,8,,62
35,700,384,8000,0,1,1,,24
36,140,1000,16000,16,1,3,,138
37,200,1000,8000,0,1,2,,36
38,110,1000,4000,16,1,2,,26
39,110,1000,12000,16,1,2,,60
40,220,1000,8000,16,1,2,,71
41,800,256,8000,0,1,4,,12
42,800,256,8000,0,1,4,,16
43,800,256,8000,0,1,4,,22
44,125,512,1000,0,8,20,,36
45,75,2000,8000,64,1,38,,144
46,75,2000,16000,64,1,38,,144
47,75,2000,16000,128,1,38,,259
48,90,256,1000,0,3,10,,17
49,105,256,2000,0,3,10,,26
50,105,1000,4000,0,3,24,,32
51,75,2000,8000,8,3,24,,62
52,75,3000,8000,8,3,48,,64
53,175,256,2000,0,3,24,,22
54,300,768,3000,6,6,24,,44
55,300,768,12000,6,6,24,,50
56,300,768,4500,0,1,24,,45
57,300,384,12000,6,1,24,,53
58,300,192,768,6,6,24,,36
59,180,768,12000,6,1,31,,84
60,330,1000,3000,0,2,4,,16
61,300,1000,4000,8,3,64,,38
62,300,1000,16000,8,2,112,,38
63,330,1000,2000,0,1,2,,16
64,330,1000,4000,0,3,6,,22
65,140,2000,4000,0,3,6,,29
66,140,2000,4000,0,4,8,,40
67,140,2000,4000,8,1,20,,35
68,140,2000,8000,32,1,54,,66
69,140,2000,32000,32,1,54,,141
70,140,2000,32000,32,1,54,,189
71,140,2000,4000,8,1,20,,22
72,57,4000,16000,1,6,12,,132
73,57,4000,24000,64,12,16,,237
74,26,16000,32000,64,8,24,,465
75,26,8000,32000,0,8,24,,277
76,26,8000,16000,0,8,16,,185
77,480,96,512,0,1,1,,6
78,203,1000,2000,0,1,5,,24
79,115,512,6000,16,1,6,,45
80,1100,768,2000,0,1,1,,13
81,600,768,2000,0,1,1,,16
82,400,2000,4000,0,1,1,,32
83,900,1000,1000,0,1,2,,11
84,900,512,1000,0,1,2,,11
85,900,1000,4000,4,1,2,,18
86,900,1000,4000,8,1,2,,22
87,900,2000,4000,0,3,6,,37
88,225,2000,4000,8,3,6,,40
89,225,2000,4000,8,3,6,,34
90,180,2000,8000,8,1,6,,50
91,185,2000,16000,16,1,6,,76
92,180,2000,16000,16,1,6,,66
93,225,1000,4000,2,3,6,,24
94,25,2000,12000,8,1,4,,49
95,25,2000,12000,16,3,5,,66
96,17,4000,16000,8,6,12,,100
97,17,4000,16000,32,6,12,,133
98,1500,768,1000,0,0,0,,12
99,1500,768,2000,0,0,0,,18
100,800,768,2000,0,0,0,,20
101,50,2000,4000,0,3,6,,27
102,50,2000,8000,8,3,6,,45
103,50,2000,8000,8,1,6,,56
104,50,2000,16000,24,1,6,,70
105,50,2000,16000,24,1,6,,80
106,100,1000,8000,0,2,6,,16
107,100,1000,8000,24,2,6,,26
108,100,1000,8000,24,3,6,,32
109,50,2000,16000,12,3,16,,45
110,50,2000,16000,24,6,16,,54
111,50,2000,16000,24,6,16,,65
112,150,512,4000,0,8,128,,30
113,115,2000,8000,16,1,3,,50
114,115,2000,4000,2,1,5,,40
115,92,2000,8000,32,1,6,,62
116,92,2000,8000,32,1,6,,60
117,92,2000,8000,4,1,6,,50
118,75,4000,16000,16,1,6,,66
119,60,4000,16000,32,1,6,,86
120,60,2000,16000,64,5,8,,74
121,60,4000,16000,64,5,8,,93
122,50,4000,16000,64,5,10,,111
123,72,2000,8000,16,6,8,,105
124,40,8000,32000,64,8,24,,277
125,38,16000,32000,128,16,32,,510
126,38,8000,32000,64,8,24,,326
127,30,16000,32000,256,16,24,,510
128,112,1000,1000,0,1,4,,8
129,84,1000,2000,0,1,6,,12
130,56,1000,4000,0,1,6,,17
131,56,2000,6000,0,1,8,,21
132,56,2000,8000,0,1,8,,24
133,56,4000,8000,0,1,8,,34
134,56,4000,12000,0,1,8,,42
135,56,4000,16000,0,1,8,,46
136,38,4000,8000,32,16,32,,51
137,38,4000,8000,32,16,32,,116
138,38,8000,16000,64,4,8,,100
139,38,8000,24000,160,4,8,,140
140,38,4000,16000,128,16,32,,212
141,200,1000,4000,0,1,4,,30
142,200,2000,8000,64,1,5,,41
143,250,512,4000,0,4,7,,50
144,250,1000,16000,1,1,8,,50
145,160,512,2000,2,3,8,,32
146,160,1000,4000,8,1,14,,38
147,160,1000,8000,16,1,14,,60
148,240,512,1000,8,1,3,,6
149,240,512,2000,8,1,5,,11
150,105,2000,4000,8,3,8,,22
151,105,2000,8000,16,4,14,,58
152,52,4000,16000,32,4,12,,130
153,26,8000,32000,64,12,16,,248
154,26,8000,32000,128,24,32,,405
155,116,2000,8000,32,5,28,,70
156,50,2000,32000,24,6,26,,114
157,50,2000,32000,48,26,52,,208
158,50,2000,32000,112,52,104,,307
159,30,8000,64000,96,12,176,,915
160,30,8000,64000,128,12,176,,1150
161,180,512,4000,0,1,3,,14
162,180,512,4000,0,1,3,,21
163,124,1000,8000,0,1,8,,42
164,98,1000,8000,32,2,8,,46
165,125,2000,8000,0,2,14,,52
166,480,512,8000,32,0,0,,67
167,480,1000,4000,0,0,0,,45
